706572969	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								EDU	STUDENT						EDU			1	010	010	01	1	0.0	42	19	42	0.857129378348512	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	20171114	http://magicvalley.com/business/zuckerberg-gives-m-public-service-grant-to-harvard/article_e7d86695-1481-59a1-8d86-330456676b53.html
706572970	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								EDU	STUDENT						EDU			1	010	010	01	1	0.0	26	11	26	0.793468262728896	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20171114	https://www.washingtonpost.com/national/higher-education/zuckerberg-gives-12m-public-service-grant-to-harvard/2017/11/13/de68c6b4-c8b8-11e7-b506-8a10ed11ecf5_story.html
706572971	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								EDU	STUDENT						EDU			1	071	071	07	2	7.4	45	24	45	0.790738083708006	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	3	Harvard University, Massachusetts, United States	US	USMA	42.3784	-71.1164	618399	3	Harvard University, Massachusetts, United States	US	USMA	42.3784	-71.1164	618399	20171114	https://www.washingtonpost.com/national/higher-education/zuckerberg-gives-12m-public-service-grant-to-harvard/2017/11/13/de68c6b4-c8b8-11e7-b506-8a10ed11ecf5_story.html
706572972	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								EDU	STUDENT						EDU			1	071	071	07	2	7.4	68	30	68	0.832788363552777	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	20171114	https://www.washingtonpost.com/national/higher-education/zuckerberg-gives-12m-public-service-grant-to-harvard/2017/11/13/de68c6b4-c8b8-11e7-b506-8a10ed11ecf5_story.html
706572973	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								EDU	STUDENT						EDU			1	071	071	07	2	7.4	5	5	5	0.637219772227559	3	Harvard University, Massachusetts, United States	US	USMA	42.3784	-71.1164	618399	3	Harvard University, Massachusetts, United States	US	USMA	42.3784	-71.1164	618399	3	Harvard University, Massachusetts, United States	US	USMA	42.3784	-71.1164	618399	20171114	http://www.financialexpress.com/world-news/mark-zuckerberg-gives-12m-public-service-grant-to-harvard/931655/
706572974	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								1	010	010	01	1	0.0	4	4	4	0.973604201216142	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	20171114	http://magicvalley.com/business/zuckerberg-gives-m-public-service-grant-to-harvard/article_e7d86695-1481-59a1-8d86-330456676b53.html
706572975	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								1	010	010	01	1	0.0	18	16	18	0.842704177846307	4	Cambridge, Cambridgeshire, United Kingdom	UK	UKC3	52.2	0.116667	-2591658	3	Harvard University, Massachusetts, United States	US	USMA	42.3784	-71.1164	618399	2	Massachusetts, United States	US	USMA	42.2373	-71.5314	MA	20171114	http://magicvalley.com/business/zuckerberg-gives-m-public-service-grant-to-harvard/article_e7d86695-1481-59a1-8d86-330456676b53.html
706572976	20161114	201611	2016	2016.8603	GBR	UNITED KINGDOM	GBR								USA	UNITED STATES	USA								1	010	010	01	1	0.0	26	11	26	0.793468262728896	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	3	Boston, Massachusetts, United States	US	USMA	42.3584	-71.0598	617565	20171114	https://www.washingtonpost.com/national/higher-education/zuckerberg-gives-12m-public-service-grant-to-harvard/2017/11/13/de68c6b4-c8b8-11e7-b506-8a10ed11ecf5_story.html
706572977	20161114	201611	2016	2016.8603	GOV	PRESIDENT						GOV			JUD	LAWYER						JUD			1	040	040	04	1	1.0	18	2	18	1.23763407268562	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	20171114	http://www.couriermail.com.au/news/world/donald-trump-nominates-former-pharmaceutical-executive-alex-azar-as-next-us-health-secretary/news-story/580ecdcd2000700b58ec165b712e3e49?nk=b073b149eb5728c591a36861214992d6-1510616838
706572978	20161114	201611	2016	2016.8603	GOV	PRESIDENT						GOV			JUD	LAWYER						JUD			1	040	040	04	1	1.0	82	14	82	1.18124867373079	2	New York, United States	US	USNY	42.1497	-74.9384	NY	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20171114	http://www.abc-7.com/story/36829388/trump-turns-to-drug-industry-for-his-new-health-secretary
